iteration,truck id,distance,time,trash collected
0,truck#1,1800,270.0,0
0,truck#2,1800,270.0,0
0,truck#3,1800,270.0,0
0,truck#4,1800,270.0,0
3,truck#1,1200,180.0,0
3,truck#2,1600,240.0,0
3,truck#3,1800,270.0,0
3,truck#4,1800,270.0,0
6,truck#1,400,60.0,0
6,truck#2,0,0.0,0
6,truck#3,2600,390.0,0
6,truck#4,2600,390.0,0
9,truck#1,1200,180.0,0
9,truck#2,1800,270.0,0
9,truck#3,1800,270.0,0
9,truck#4,1800,270.0,0
12,truck#1,600,90.0,0
12,truck#2,2000,300.0,0
12,truck#3,2200,330.0,0
12,truck#4,2200,330.0,0
15,truck#1,2200,330.0,0
15,truck#2,1800,270.0,0
15,truck#3,0,0.0,0
15,truck#4,2200,330.0,0
18,truck#1,1400,210.0,0
18,truck#2,1800,270.0,0
18,truck#3,2000,300.0,0
18,truck#4,2000,300.0,0
